,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
40964,812996542,"OLIVE, AGAIN","In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine.",Elizabeth Strout,by Elizabeth Strout,Random House,0,0,https://www.amazon.com/Olive-Again-Novel-Elizabeth-Strout/dp/0812996542?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/15/books/review/elizabeth-strout-olive-again.html,11/2/19,11/17/19,Hardcover Fiction,2019,46,15,13,3
41055,399589651,THE BEAUTIFUL ONES,"A memoir by the musician written before his death, with photos and other memorabilia showing his evolution.",Prince,by Prince. Edited by Dan Piepenbring,Spiegel & Grau,0,0,https://www.amazon.com/Beautiful-Ones-Prince/dp/0399589651?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,1,0,1
41056,1250147603,ME,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",Elton John,by Elton John,Holt,0,0,https://www.amazon.com/Me-Elton-John-Official-Autobiography/dp/1250147603?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/10/books/review-me-elton-john-memoir.html,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,2,1,3
41057,525575472,BLOWOUT,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,Rachel Maddow,by Rachel Maddow,Crown,0,0,https://www.amazon.com/Blowout-Corrupted-Democracy-Destructive-Industry/dp/0525575472?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/30/books/review/blowout-rachel-maddow.html,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,3,4,5
41058,1452182752,DUMPTY,The multi-award-winning actor satirizes the Trump administration with a collection of poems and illustrations.,John Lithgow,by John Lithgow,Chronicle Prism,0,0,https://www.amazon.com/Dumpty-Trump-Political-Satire-Poetry/dp/1452182752?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,4,3,2
41059,316486639,CATCH AND KILL,The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,Ronan Farrow,by Ronan Farrow,"Little, Brown",0,0,https://www.amazon.com/Catch-Kill-Conspiracy-Protect-Predators/dp/0316486639?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/11/books/review-catch-kill-ronan-farrow-harvey-weinstein.html,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,5,2,3
41060,316478520,TALKING TO STRANGERS,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,Malcolm Gladwell,by Malcolm Gladwell,"Little, Brown",0,0,https://www.amazon.com/Talking-Strangers-Should-about-People/dp/0316478520?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/04/books/review-talking-to-strangers-malcolm-gladwell.html,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,6,6,8
41061,1546085025,THE PLOT AGAINST THE PRESIDENT,A narrative is depicted from the perspective of Representative Devin Nunes.,Lee Smith,by Lee Smith,Center Street,0,1,https://www.amazon.com/Plot-Against-President-Congressman-Uncovered/dp/1546085025?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,7,0,1
41062,62905686,THREE DAYS AT THE BRINK,"The Fox News host describes a meeting between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin in Tehran during World War II.",Bret Baier with Catherine Whitney,by Bret Baier with Catherine Whitney,Morrow,0,0,https://www.amazon.com/Three-Days-Brink-Daring-Gamble/dp/0062905686?tag=NYTBSREV-20,,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,8,5,2
41063,399590501,EDUCATED,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",Tara Westover,by Tara Westover,Random House,0,0,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,11/2/19,11/17/19,Hardcover Nonfiction,2019,46,9,8,89
